"","school","logo"
"1","Abilene Christian","http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png"
"2","Adams State","http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png"
"3","Adrian","http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png"
"4","Air Force","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png"
"5","Akron","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png"
"6","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"7","Alabama A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png"
"8","Alabama State","http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png"
"9","Albany","http://a.espncdn.com/i/teamlogos/ncaa/500/399.png"
"10","Albany State (GA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png"
"11","Albion","http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png"
"12","Albright","http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png"
"13","Alcorn State","http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png"
"14","Alderson-Broaddus","http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png"
"15","Alfred","http://a.espncdn.com/i/teamlogos/ncaa/500/365.png"
"16","Alfred State College","http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png"
"17","Allegheny","http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png"
"18","Alma College","http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png"
"19","American International","http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png"
"20","Amherst College","http://a.espncdn.com/i/teamlogos/ncaa/500/7.png"
"21","Anderson (IN)","http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png"
"22","Angelo State","http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png"
"23","Anna Maria College","http://a.espncdn.com/i/teamlogos/ncaa/500/15.png"
"24","Appalachian State","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png"
"25","Apprentice School","http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png"
"26","Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
"27","Arizona Christian",""
